2016-01-14 0023-47-44 begin
2016-01-14 0023-47-44 daemon process
2016-01-14 0023-47-45 daemon process
2016-01-14 0023-47-46 daemon process
2016-01-14 0023-47-47 daemon process
2016-01-14 0023-47-48 daemon process
2016-01-14 0023-47-49 daemon process
2016-01-14 0023-47-50 daemon process
2016-01-14 0023-47-51 daemon process
2016-01-14 0023-47-52 daemon process
2016-01-14 0023-47-53 daemon process
2016-01-14 0023-47-54 daemon process
2016-01-14 0023-47-55 daemon process
2016-01-14 0023-47-56 daemon process
2016-01-14 0023-47-57 daemon process
2016-01-14 0023-47-58 daemon process
2016-01-14 0023-47-59 daemon process
2016-01-14 0023-48-00 daemon process
2016-01-14 0023-48-01 daemon process
2016-01-14 0023-48-02 daemon process
2016-01-14 0023-48-03 daemon process
2016-01-14 0023-48-04 daemon process
2016-01-14 0023-48-05 daemon process
2016-01-14 0023-48-06 daemon process
2016-01-14 0023-48-08 daemon process
2016-01-14 0023-48-09 daemon process
2016-01-14 0023-48-10 daemon process
2016-01-14 0023-48-11 daemon process
2016-01-14 0023-48-12 daemon process
2016-01-14 0023-48-13 daemon process
2016-01-14 0023-48-14 daemon process
2016-01-14 0023-48-15 daemon process
2016-01-14 0023-48-16 daemon process
2016-01-14 0023-48-17 daemon process
2016-01-14 0023-48-18 daemon process
2016-01-14 0023-48-19 daemon process
2016-01-14 0023-48-20 daemon process
2016-01-14 0023-48-21 daemon process
2016-01-14 0023-48-22 daemon process
2016-01-14 0023-48-23 daemon process
2016-01-14 0023-48-24 daemon process
2016-01-14 0023-48-25 daemon process
2016-01-14 0023-48-26 daemon process
2016-01-14 0023-48-27 daemon process
2016-01-14 0023-48-28 daemon process
2016-01-14 0023-48-29 daemon process
2016-01-14 0023-48-30 daemon process
2016-01-14 0023-48-31 daemon process
2016-01-14 0023-48-32 daemon process
2016-01-14 0023-48-33 daemon process
2016-01-14 0023-48-34 daemon process
2016-01-14 0023-48-35 daemon process
2016-01-14 0023-48-36 daemon process
2016-01-14 0023-48-37 daemon process
2016-01-14 0023-48-38 daemon process
2016-01-14 0023-48-39 daemon process
2016-01-14 0023-48-40 daemon process
2016-01-14 0023-48-41 daemon process
2016-01-14 0023-48-42 daemon process
2016-01-14 0023-48-43 daemon process
2016-01-14 0023-48-44 daemon process
2016-01-14 0023-48-45 daemon process
2016-01-14 0023-48-46 daemon process
2016-01-14 0023-48-47 daemon process
2016-01-14 0023-48-48 daemon process
2016-01-14 0023-48-49 daemon process
2016-01-14 0023-48-50 daemon process
2016-01-14 0023-48-51 daemon process
2016-01-14 0023-48-52 daemon process
2016-01-14 0023-48-53 daemon process
2016-01-14 0023-48-54 daemon process
2016-01-14 0023-48-55 daemon process
2016-01-14 0023-48-56 daemon process
2016-01-14 0023-48-57 daemon process
2016-01-14 0023-48-58 daemon process
2016-01-14 0023-48-59 daemon process
2016-01-14 0023-49-00 daemon process
2016-01-14 0023-49-01 daemon process
2016-01-14 0023-49-02 daemon process
2016-01-14 0023-49-03 daemon process
2016-01-14 0023-49-04 daemon process
2016-01-14 0023-49-05 daemon process
2016-01-14 0023-49-06 daemon process
2016-01-14 0023-49-07 daemon process
2016-01-14 0023-49-08 daemon process
2016-01-14 0023-49-09 daemon process
2016-01-14 0023-49-10 daemon process
2016-01-14 0023-49-11 daemon process
2016-01-14 0023-49-12 daemon process
2016-01-14 0023-49-13 daemon process
2016-01-14 0023-49-14 daemon process
2016-01-14 0023-49-15 daemon process
2016-01-14 0023-49-16 daemon process
2016-01-14 0023-49-17 daemon process
2016-01-14 0023-49-18 daemon process
2016-01-14 0023-49-19 daemon process
2016-01-14 0023-49-20 daemon process
2016-01-14 0023-49-21 daemon process
2016-01-14 0023-49-22 daemon process
2016-01-14 0023-49-23 daemon process
2016-01-14 0023-49-24 daemon process
2016-01-14 0023-49-25 daemon process
2016-01-14 0023-49-26 daemon process
2016-01-14 0023-49-27 daemon process
2016-01-14 0023-49-28 daemon process
2016-01-14 0023-49-29 daemon process
2016-01-14 0023-49-30 daemon process
2016-01-14 0023-49-31 daemon process
2016-01-14 0023-49-32 daemon process
2016-01-14 0023-49-33 daemon process
2016-01-14 0023-49-34 daemon process
2016-01-14 0023-49-35 daemon process
2016-01-14 0023-49-36 daemon process
2016-01-14 0023-49-37 daemon process
2016-01-14 0023-49-38 daemon process
2016-01-14 0023-49-39 daemon process
2016-01-14 0023-49-40 daemon process
2016-01-14 0023-49-41 daemon process
2016-01-14 0023-49-42 daemon process
2016-01-14 0023-49-43 daemon process
2016-01-14 0023-49-44 daemon process
2016-01-14 0023-49-45 daemon process
2016-01-14 0023-49-46 daemon process
2016-01-14 0023-49-47 daemon process
2016-01-14 0023-49-48 daemon process
2016-01-14 0023-49-49 daemon process
2016-01-14 0023-49-50 daemon process
2016-01-14 0023-49-51 daemon process
2016-01-14 0023-49-52 daemon process
2016-01-14 0023-49-53 daemon process
2016-01-14 0023-49-54 daemon process
2016-01-14 0023-49-55 daemon process
2016-01-14 0023-49-56 daemon process
2016-01-14 0023-49-57 daemon process
2016-01-14 0023-49-58 daemon process
2016-01-14 0023-49-59 daemon process
2016-01-14 0023-50-00 daemon process
2016-01-14 0023-50-01 daemon process
2016-01-14 0023-50-02 daemon process
2016-01-14 0023-50-03 daemon process
2016-01-14 0023-50-04 daemon process
2016-01-14 0023-50-05 daemon process
2016-01-14 0023-50-06 daemon process
2016-01-14 0023-50-07 daemon process
2016-01-14 0023-50-08 daemon process
2016-01-14 0023-50-09 daemon process
2016-01-14 0023-50-10 daemon process
2016-01-14 0023-50-11 daemon process
2016-01-14 0023-50-12 daemon process
2016-01-14 0023-50-13 daemon process
2016-01-14 0023-50-14 daemon process
2016-01-14 0023-50-15 daemon process
2016-01-14 0023-50-16 daemon process
2016-01-14 0023-50-17 daemon process
2016-01-14 0023-50-18 daemon process
2016-01-14 0023-50-19 daemon process
2016-01-14 0023-50-20 daemon process
2016-01-14 0023-50-21 daemon process
2016-01-14 0023-50-22 daemon process
2016-01-14 0023-50-23 daemon process
2016-01-14 0023-50-24 daemon process
2016-01-14 0023-50-25 daemon process
2016-01-14 0023-50-26 daemon process
2016-01-14 0023-50-27 daemon process
2016-01-14 0023-50-28 daemon process
2016-01-14 0023-50-29 daemon process
2016-01-14 0023-50-30 daemon process
2016-01-14 0023-50-31 daemon process
2016-01-14 0023-50-32 daemon process
2016-01-14 0023-50-33 daemon process
2016-01-14 0023-50-34 daemon process
2016-01-14 0023-50-35 daemon process
2016-01-14 0023-50-36 daemon process
2016-01-14 0023-50-37 daemon process
2016-01-14 0023-50-38 daemon process
2016-01-14 0023-50-39 daemon process
2016-01-14 0023-50-40 daemon process
2016-01-14 0023-50-41 daemon process
2016-01-14 0023-50-42 daemon process
2016-01-14 0023-50-43 daemon process
2016-01-14 0023-50-44 daemon process
2016-01-14 0023-50-45 daemon process
2016-01-14 0023-50-46 daemon process
2016-01-14 0023-50-47 daemon process
2016-01-14 0023-50-48 daemon process
2016-01-14 0023-50-49 daemon process
2016-01-14 0023-50-50 daemon process
2016-01-14 0023-50-51 daemon process
2016-01-14 0023-50-52 daemon process
2016-01-14 0023-50-53 daemon process
2016-01-14 0023-50-54 daemon process
2016-01-14 0023-50-55 daemon process
2016-01-14 0023-50-56 daemon process
2016-01-14 0023-50-57 daemon process
2016-01-14 0023-50-58 daemon process
2016-01-14 0023-50-59 daemon process
2016-01-14 0023-51-00 daemon process
2016-01-14 0023-51-01 daemon process
2016-01-14 0023-51-02 daemon process
2016-01-14 0023-51-03 daemon process
2016-01-14 0023-51-04 daemon process
2016-01-14 0023-51-05 daemon process
2016-01-14 0023-51-06 daemon process
2016-01-14 0023-51-07 daemon process
2016-01-14 0023-51-08 daemon process
2016-01-14 0023-51-09 daemon process
2016-01-14 0023-51-10 daemon process
2016-01-14 0023-51-11 daemon process
2016-01-14 0023-51-12 daemon process
2016-01-14 0023-51-13 daemon process
2016-01-14 0023-51-14 daemon process
2016-01-14 0023-51-15 daemon process
2016-01-14 0023-51-16 daemon process
2016-01-14 0023-51-17 daemon process
2016-01-14 0023-51-18 daemon process
2016-01-14 0023-51-19 daemon process
2016-01-14 0023-51-20 daemon process
2016-01-14 0023-51-21 daemon process
2016-01-14 0023-51-22 daemon process
2016-01-14 0023-51-23 daemon process
2016-01-14 0023-51-24 daemon process
2016-01-14 0023-51-25 daemon process
2016-01-14 0023-51-26 daemon process
2016-01-14 0023-51-27 daemon process
2016-01-14 0023-51-28 daemon process
2016-01-14 0023-51-29 daemon process
2016-01-14 0023-51-30 daemon process
2016-01-14 0023-51-31 daemon process
2016-01-14 0023-51-32 daemon process
2016-01-14 0023-51-33 daemon process
2016-01-14 0023-51-34 daemon process
2016-01-14 0023-51-35 daemon process
2016-01-14 0023-51-36 daemon process
2016-01-14 0023-51-37 daemon process
2016-01-14 0023-51-38 daemon process
2016-01-14 0023-51-39 daemon process
2016-01-14 0023-51-40 daemon process
2016-01-14 0023-51-41 daemon process
2016-01-14 0023-51-42 daemon process
2016-01-14 0023-51-43 daemon process
2016-01-14 0023-51-44 daemon process
2016-01-14 0023-51-45 daemon process
2016-01-14 0023-51-46 daemon process
2016-01-14 0023-51-47 daemon process
2016-01-14 0023-51-48 daemon process
2016-01-14 0023-51-49 daemon process
2016-01-14 0023-51-50 daemon process
2016-01-14 0023-51-51 daemon process
2016-01-14 0023-51-52 daemon process
2016-01-14 0023-51-53 daemon process
2016-01-14 0023-51-54 daemon process
2016-01-14 0023-51-55 daemon process
2016-01-14 0023-51-56 daemon process
2016-01-14 0023-51-57 daemon process
2016-01-14 0023-51-58 daemon process
2016-01-14 0023-51-59 daemon process
2016-01-14 0023-52-00 daemon process
2016-01-14 0023-52-01 daemon process
2016-01-14 0023-52-02 daemon process
2016-01-14 0023-52-03 daemon process
2016-01-14 0023-52-04 daemon process
2016-01-14 0023-52-05 daemon process
2016-01-14 0023-52-06 daemon process
2016-01-14 0023-52-07 daemon process
2016-01-14 0023-52-08 daemon process
2016-01-14 0023-52-09 daemon process
2016-01-14 0023-52-10 daemon process
2016-01-14 0023-52-11 daemon process
2016-01-14 0023-52-12 daemon process
2016-01-14 0023-52-13 daemon process
2016-01-14 0023-52-14 daemon process
2016-01-14 0023-52-15 daemon process
2016-01-14 0023-52-16 daemon process
2016-01-14 0023-52-17 daemon process
2016-01-14 0023-52-18 daemon process
2016-01-14 0023-52-19 daemon process
2016-01-14 0023-52-20 daemon process
2016-01-14 0023-52-21 daemon process
2016-01-14 0023-52-22 daemon process
2016-01-14 0023-52-23 daemon process
2016-01-14 0023-52-24 daemon process
2016-01-14 0023-52-25 daemon process
2016-01-14 0023-52-26 daemon process
2016-01-14 0023-52-27 daemon process
2016-01-14 0023-52-28 daemon process
2016-01-14 0023-52-29 daemon process
2016-01-14 0023-52-30 daemon process
2016-01-14 0023-52-31 daemon process
2016-01-14 0023-52-32 daemon process
2016-01-14 0023-52-33 daemon process
2016-01-14 0023-52-34 daemon process
2016-01-14 0023-52-35 daemon process
2016-01-14 0023-52-36 daemon process
2016-01-14 0023-52-37 daemon process
2016-01-14 0023-52-38 daemon process
2016-01-14 0023-52-39 daemon process
2016-01-14 0023-52-40 daemon process
2016-01-14 0023-52-41 daemon process
2016-01-14 0023-52-42 daemon process
2016-01-14 0023-52-43 daemon process
2016-01-14 0023-52-44 daemon process
2016-01-14 0023-52-45 daemon process
2016-01-14 0023-52-46 daemon process
2016-01-14 0023-52-47 daemon process
2016-01-14 0023-52-48 daemon process
2016-01-14 0023-52-49 daemon process
2016-01-14 0023-52-50 daemon process
2016-01-14 0023-52-51 daemon process
2016-01-14 0023-52-52 daemon process
2016-01-14 0023-52-53 daemon process
2016-01-14 0023-52-54 daemon process
2016-01-14 0023-52-55 daemon process
2016-01-14 0023-52-56 daemon process
2016-01-14 0023-52-57 daemon process
2016-01-14 0023-52-58 daemon process
2016-01-14 0023-52-59 daemon process
2016-01-14 0023-53-00 daemon process
2016-01-14 0023-53-01 daemon process
2016-01-14 0023-53-02 daemon process
2016-01-14 0023-53-03 daemon process
2016-01-14 0023-53-04 daemon process
2016-01-14 0023-53-05 daemon process
2016-01-14 0023-53-06 daemon process
2016-01-14 0023-53-07 daemon process
2016-01-14 0023-53-08 daemon process
2016-01-14 0023-53-09 daemon process
2016-01-14 0023-53-10 daemon process
2016-01-14 0023-53-11 daemon process
2016-01-14 0023-53-12 daemon process
2016-01-14 0023-53-13 daemon process
2016-01-14 0023-53-14 daemon process
2016-01-14 0023-53-15 daemon process
2016-01-14 0023-53-16 daemon process
2016-01-14 0023-53-17 daemon process
2016-01-14 0023-53-18 daemon process
2016-01-14 0023-53-19 daemon process
2016-01-14 0023-53-20 daemon process
2016-01-14 0023-53-21 daemon process
2016-01-14 0023-53-22 daemon process
2016-01-14 0023-53-23 daemon process
2016-01-14 0023-53-24 daemon process
2016-01-14 0023-53-25 daemon process
2016-01-14 0023-53-26 daemon process
2016-01-14 0023-53-27 daemon process
2016-01-14 0023-53-28 daemon process
2016-01-14 0023-53-29 daemon process
2016-01-14 0023-53-30 daemon process
2016-01-14 0023-53-31 daemon process
2016-01-14 0023-53-32 daemon process
2016-01-14 0023-53-33 daemon process
2016-01-14 0023-53-34 daemon process
2016-01-14 0023-53-35 daemon process
2016-01-14 0023-53-36 daemon process
2016-01-14 0023-53-37 daemon process
2016-01-14 0023-53-38 daemon process
